#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              100.23          1.5474e-21                       |         2.99104519e+16      5.18534132e-39                    
              102.09          2.2836e-21                       |         2.93655068e+16      7.93899882e-39                    
              104.23          3.0734e-21                       |         2.87625884e+16      1.11374010e-38                    
              106.17          4.1938e-21                       |         2.82370217e+16      1.57685096e-38                    
              108.14          5.8292e-21                       |         2.77226243e+16      2.27384566e-38                    
              110.15          9.0077e-21                       |         2.72167462e+16      3.64554289e-38                    
              114.29          1.5192e-20                       |         2.62308565e+16      6.61927940e-38                    
               118.3          2.4022e-20                       |         2.53417125e+16      1.12139328e-37                    
              121.06          9.8087e-20                       |         2.47639566e+16      4.79503837e-37                    
              125.31          1.4145e-19                       |         2.39240650e+16      7.40889956e-37                    
              127.35          1.6391e-19                       |         2.35408291e+16      8.86712120e-37                    
              128.23          1.7973e-19                       |         2.33792762e+16      9.85778075e-37                    
              131.22           2.201e-19                       |         2.28465523e+16      1.26415232e-36                    
              132.13          2.6891e-19                       |         2.26892045e+16      1.56599048e-36                    
              134.28          3.0452e-19                       |         2.23259204e+16      1.83154579e-36                    
              137.09          4.2229e-19                       |         2.18682952e+16      2.64729077e-36                    
              140.28          5.0421e-19                       |         2.13710051e+16      3.30965149e-36                    
              143.22          1.5726e-18                       |         2.09323041e+16      1.07598175e-35                    
              147.23          4.5985e-18                       |         2.03621856e+16      3.32497291e-35                    
              151.36          5.4402e-18                       |         1.98065842e+16      4.15734819e-35                    
              155.24          6.4806e-18                       |         1.93115472e+16      5.20956883e-35                    
              159.22          7.7022e-18                       |         1.88288192e+16      6.51312370e-35                    
              162.18          8.7019e-18                       |         1.84851683e+16      7.63462967e-35                    
              166.34          1.0342e-17                       |         1.80228724e+16      9.54502837e-35                    
              170.22          1.1984e-17                       |         1.76120585e+16      1.15824989e-34                    
              173.38          1.3385e-17                       |         1.72910635e+16      1.34213335e-34                    
              177.42          1.5368e-17                       |         1.68973317e+16      1.61362197e-34                    
               180.3          1.6967e-17                       |         1.66274242e+16      1.83982201e-34                    
              182.39          1.8139e-17                       |         1.64368912e+16      2.01277247e-34                    
              186.21          2.0588e-17                       |         1.60996971e+16      2.38121964e-34                    
              191.43          2.3967e-17                       |         1.56606832e+16      2.92963132e-34                    
              194.54           2.634e-17                       |         1.54103248e+16      3.32516262e-34                    
              198.15          2.9418e-17                       |         1.51295715e+16      3.85283662e-34                    
               202.3          3.2932e-17                       |         1.48192021e+16      4.49561558e-34                    
              205.12          3.5695e-17                       |         1.46154670e+16      5.00959593e-34                    
              210.38          3.8691e-17                       |         1.42500456e+16      5.71213091e-34                    
              216.27           4.684e-17                       |         1.38619531e+16      7.30783516e-34                    
              220.29          5.1715e-17                       |         1.36089908e+16      8.37115514e-34                    
              223.36          5.4779e-17                       |         1.34219403e+16      9.11599750e-34                    
              227.51          6.0341e-17                       |         1.31771113e+16      1.04182021e-33                    
              230.14          9.6075e-17                       |         1.30265255e+16      1.69735978e-33                    
              234.42          1.7124e-16                       |         1.27886895e+16      3.13887368e-33                    
              240.44          2.2367e-16                       |         1.24684936e+16      4.31320869e-33                    
               246.6          2.2522e-16                       |         1.21570340e+16      4.56848701e-33                    
              252.35          2.5329e-16                       |         1.18800261e+16      5.38026860e-33                    
              257.63          2.2522e-16                       |         1.16365508e+16      4.98630818e-33                    
              260.62          2.6461e-16                       |         1.15030488e+16      5.99516347e-33                    
              264.24          2.8748e-16                       |         1.13454609e+16      6.69551602e-33                    
              269.15          2.9896e-16                       |         1.11384900e+16      7.22405675e-33                    
              274.16          3.1018e-16                       |         1.09349453e+16      7.77680609e-33                    
              279.25          3.2182e-16                       |         1.07356297e+16      8.37102598e-33                    
              284.45           3.339e-16                       |         1.05393728e+16      9.01171795e-33                    
               290.4           3.316e-16                       |         1.03234318e+16      9.32796787e-33                    
              296.48          3.5125e-16                       |         1.01117262e+16      1.02987955e-32                    
               301.3          3.5943e-16                       |         9.94996545e+15      1.08840839e-32                    
              308.32           3.781e-16                       |         9.72341914e+15      1.19891769e-32                    
              318.42          4.0702e-16                       |         9.41500091e+15      1.37656183e-32                    
              328.85          4.2817e-16                       |         9.11638920e+15      1.54451177e-32                    
              338.84          4.4423e-16                       |         8.84761123e+15      1.70128286e-32                    
              348.34          4.5985e-16                       |         8.60631736e+15      1.86123916e-32                    
              357.27          4.7273e-16                       |         8.39120158e+15      2.01273018e-32                    
              366.44          4.8934e-16                       |         8.18121545e+15      2.19177396e-32                    
              375.84          4.9959e-16                       |         7.97659799e+15      2.35395974e-32                    
              385.48          4.9615e-16                       |         7.77712097e+15      2.45921213e-32                    
              395.37          5.2193e-16                       |         7.58257984e+15      2.72144136e-32                    
              405.51          5.3532e-16                       |         7.39297327e+15      2.93626942e-32                    
              414.95          5.4152e-16                       |         7.22478513e+15      3.11017864e-32                    
              422.67          5.4402e-16                       |         7.09282558e+15      3.24188055e-32                    
              430.53          5.4779e-16                       |         6.96333494e+15      3.38688331e-32                    
              441.57          5.5669e-16                       |         6.78923974e+15      3.62069411e-32                    
              451.86          5.5797e-16                       |         6.63463150e+15      3.80012551e-32                    
              460.26          5.6055e-16                       |         6.51354580e+15      3.96095692e-32                    
              470.98          5.6313e-16                       |         6.36529065e+15      4.16670631e-32                    
              480.84          5.6966e-16                       |         6.23476539e+15      4.39335400e-32                    
              490.91          5.6443e-16                       |         6.10687212e+15      4.53725452e-32                    
              501.19           5.736e-16                       |         5.98161294e+15      4.80610476e-32                    
              506.99          5.6966e-16                       |         5.91318288e+15      4.88420414e-32                    
              512.86          5.9926e-16                       |         5.84550285e+15      5.25765690e-32                    
              521.19          6.0202e-16                       |         5.75207619e+15      5.45484436e-32                    
              530.88          6.0064e-16                       |         5.64708520e+15      5.64659027e-32                    
              540.75          5.8832e-16                       |         5.54401219e+15      5.73833587e-32                    
              550.81           5.965e-16                       |         5.44275629e+15      6.03661358e-32                    
              561.05          6.2032e-16                       |         5.34341786e+15      6.51325697e-32                    
              571.48          6.4064e-16                       |         5.24589590e+15      6.97903569e-32                    
              580.76          6.3623e-16                       |         5.16207141e+15      7.15791987e-32                    
              591.56          6.5859e-16                       |         5.06782844e+15      7.68762213e-32                    
              601.17          6.4806e-16                       |         4.98681669e+15      7.81248348e-32                    
              610.94           6.104e-16                       |         4.90706876e+15      7.59960363e-32                    
              620.87          7.0894e-16                       |         4.82858664e+15      9.11570218e-32                    
              630.96          7.1715e-16                       |         4.75137028e+15      9.52342035e-32                    
              641.21          7.4578e-16                       |         4.67541771e+15      1.02279972e-31                    
              651.63          7.6668e-16                       |         4.60065465e+15      1.08591435e-31                    
              659.17          7.6844e-16                       |         4.54802948e+15      1.11374079e-31                    
              666.81          8.1398e-16                       |         4.49592026e+15      1.20725007e-31                    
              676.08          8.4452e-16                       |         4.43427492e+15      1.28761318e-31                    
              685.49          8.1962e-16                       |         4.37340383e+15      1.28467742e-31                    
              696.63          9.3028e-16                       |         4.30346754e+15      1.50590414e-31                    
              706.32          8.7824e-16                       |         4.24442829e+15      1.46148888e-31                    
              717.79          1.0271e-15                       |         4.17660401e+15      1.76517120e-31                    
              727.78           1.073e-15                       |         4.11927312e+15      1.89574208e-31                    
              736.21          1.1159e-15                       |         4.07210523e+15      2.01747424e-31                    
              746.45          1.1711e-15                       |         4.01624300e+15      2.17658044e-31                    
              756.83          1.2263e-15                       |         3.96115982e+15      2.34300223e-31                    
               765.6          1.1957e-15                       |         3.91578447e+15      2.33778934e-31                    
              776.25          1.3634e-15                       |         3.86206066e+15      2.74034859e-31                    
              787.05           1.376e-15                       |         3.80906498e+15      2.84316704e-31                    
              796.16          1.4949e-15                       |         3.76548004e+15      3.16076455e-31                    
              805.38          1.5871e-15                       |         3.72237278e+15      3.43388122e-31                    
              816.58          1.6658e-15                       |         3.67131768e+15      3.70509741e-31                    
              826.04          1.7849e-15                       |         3.62927290e+15      4.06251840e-31                    
               835.6          1.5332e-15                       |         3.58775083e+15      3.57087764e-31                    
              847.23          1.9214e-15                       |         3.53850146e+15      4.60044384e-31                    
              857.04          1.9843e-15                       |         3.49799845e+15      4.86170734e-31                    
              866.96           2.141e-15                       |         3.45797337e+15      5.36777228e-31                    
                 877          2.2731e-15                       |         3.41838608e+15      5.83172484e-31                    
              887.16          2.4189e-15                       |         3.37923778e+15      6.35040048e-31                    
              897.43          2.5446e-15                       |         3.34056650e+15      6.83596744e-31                    
              905.73          2.5919e-15                       |         3.30995395e+15      7.09242975e-31                    
              916.22          3.1522e-15                       |         3.27205757e+15      8.82658272e-31                    
              926.83          1.3354e-14                       |         3.23460029e+15      3.82640410e-30                    
              937.56          2.7328e-14                       |         3.19758158e+15      8.01281813e-30                    
              946.24          4.9615e-14                       |         3.16824969e+15      1.48181811e-29                    
              957.19          6.9922e-14                       |         3.13200576e+15      2.13692580e-29                    
              966.05          7.7199e-14                       |         3.10328098e+15      2.40320146e-29                    
              977.24          1.4744e-14                       |         3.06774650e+15      4.69674615e-30                    
              986.28          6.2174e-14                       |         3.03962829e+15      2.01738393e-29                    
               997.7          6.8016e-14                       |         3.00483571e+15      2.25834520e-29                    
             1006.93          1.0271e-13                       |         2.97729196e+15      3.47368622e-29                    
             1016.25          1.0177e-13                       |         2.94998730e+15      3.50590535e-29                    
